unidad_numero,posicion,fuego
411,tde,S/N
411,ra,S/N
430,ddi,S/N
430,ddd,S/N
430,tie,S/N
430,tde,S/N
2031,ddi,11304
2031,ddd,11303
2031,tie,10501
2031,tii,10502
2031,tdi,10040
2031,tde,10039
2032,ddi,11063
2032,ddd,11062
2032,tie,9703
2032,tii,9704
2032,tdi,9705
2032,tde,9088
62,ddi,11650
62,ddd,11651
62,cie,10101
62,cii,10102
62,cdi,10103
62,cde,10104
62,tie,11190
62,tde,11189
62,ra,s/n
2033,ddi,12547
2033,ddd,12546
2033,tie,10696
2033,tii,10699
2033,tdi,10202
2033,tde,10330
2033,ra,3658
282,ddi,11910
282,ddd,11909
282,tie,S/N
282,tii,S/N
282,tdi,S/N
282,tde,S/N
58,ddi,11840
58,ddd,11835
58,cie,10593
58,cii,12359
58,cdi,12361
58,cde,10758
58,tie,12321
58,tde,12320
58,ra,10679
2030,ddi,9722
2030,ddd,9721
2030,tie,9878
2030,tii,9879
2030,tdi,9665
2030,tde,9664
59,ddi,12159
59,ddd,12158
59,cie,12764
59,cii,12765
59,cdi,12766
59,cde,12767
59,tie,13014
59,tde,13015
59,ra,5606
61,ddi,11829
61,ddd,11828
61,cie,12265
61,cii,12264
61,cdi,12262
61,cde,12263
61,tie,12817
61,tde,12818
60,ddi,10832
60,ddd,11834
60,cie,10907
60,cii,10908
60,cdi,10905
60,cde,10906
60,tie,12316
60,tde,12317
317,ddi,12557
317,ddd,12556
317,tie,11505
317,tii,11504
317,tdi,11227
317,tde,11228
316,ddi,11500
316,ddd,11501
316,tie,10157
316,tii,9626
316,tdi,10155
316,tde,10154
428,ddi,s/n
428,ddd,s/n
428,tie,s/n
428,tde,s/n
428,ra,S/N
433,ddi,S/N
433,ddd,S/N
433,tie,S/N
433,tde,S/N
2034,ddi,13174
2034,ddd,13173
2034,tie,10718
2034,tii,11280
2034,tdi,12827
2034,tde,11430
318,ddi,12563
318,ddd,12562
318,tie,11633
318,tii,11632
318,tdi,11631
318,tde,11630
318,ra,5412
319,ddi,12551
319,ddd,12550
319,tie,10548
319,tii,10547
319,tdi,11296
319,tde,11295
319,ra,S/N
320,ddi,12705
320,ddd,12704
320,tie,11930
320,tii,11931
320,tdi,11932
320,tde,11933
320,ra,7761
2040,tie,5794R
2040,tii,6149R
2040,tdi,5896R
2040,tde,5897R
2037,ddi,31vacio
2037,ddd,30vacio
2037,cie,vacio32
2037,cii,vacio33
2037,cdi,vacio34
2037,cde,vacio35
2037,tie,5769
2037,tde,6409
321,ddi,12913
321,ddd,12912
321,tie,11058
321,tii,11059
321,tdi,11060
321,tde,11061
321,ra,7580
323,ddi,12715
323,ddd,12714
323,tie,11394
323,tii,11395
323,tdi,11396
323,tde,11397
323,ra,VACIO
330,ddi,11517
330,ddd,11525
330,tie,11487
330,tii,11488
330,tdi,11483
330,tde,11489
330,ra,10943
331,ddi,12387
331,ddd,12393
331,tie,10869
331,tii,10874
331,tdi,10856
331,tde,10872
331,ra,10549
325,ddi,12496
325,ddd,12495
325,tie,11362
325,tii,11365
325,tdi,11749
325,tde,11750
325,ra,9883
326,ddi,11809
326,ddd,11803
326,tie,11802
326,tii,10700
326,tdi,11804
326,tde,10446
327,ddi,12360
327,ddd,12355
327,tie,10205
327,tii,12352
327,tdi,12353
327,tde,10211
328,ddi,11807
328,ddd,11806
328,tie,11805
328,tii,11801
328,tdi,11810
328,tde,11808
329,ddi,12781
329,ddd,12780
329,tie,12782
329,tii,12783
329,tdi,12784
329,tde,12785
329,ra,9625
432,ddi,s/n
432,ddd,s/n
432,tie,s/n
432,tde,s/n
322,ddi,11754
322,ddd,11753
322,tie,11408
322,tii,11409
322,tdi,11410
322,tde,11411
322,ra,4652
324,ddi,12438
324,ddd,12437
324,tie,11308
324,tii,11307
324,tdi,11306
324,tde,11305
334,ddi,12229
334,ddd,12228
334,tie,10350
334,tii,10349
334,tdi,10348
334,tde,10347
334,ra,17VACIO
335,ddi,12565
335,ddd,12564
335,tie,10580
335,tii,11688
335,tdi,10827
335,tde,10828
335,ra,7863
717,tie,7919
717,tii,7920
717,tdi,7921
717,tde,7922
718,ddi,7928
718,ddd,7927
718,tie,3982
718,tii,7926
336,ddi,11989
336,ddd,11988
336,tie,10894
336,tii,10885
336,tdi,10884
336,tde,10883
336,ra,6737
337,ddi,11915
337,ddd,11914
337,tie,10844
337,tii,10842
337,tdi,11781
337,tde,11782
337,ra,7979
338,ddi,12577
338,ddd,12576
338,tie,11123
338,tii,11122
338,tdi,11121
338,tde,11120
339,ddi,12872
339,ddd,12985
339,tie,11919
339,tii,11918
339,tdi,11917
339,tde,11916
340,ddi,12575
340,ddd,12574
340,tie,12864
340,tii,12865
340,tdi,11473
340,tde,11472
340,ra,7805
332,ddi,8073
332,ddd,8074
332,tie,8036
332,tii,8035
332,tdi,8123
332,tde,8122
333,ddi,8137
333,ddd,8136
333,tie,8138
333,tii,8139
333,tdi,8140
333,tde,8141
437,ddi,s/n
437,ddd,s/n
437,tie,s/n
437,tde,s/n
436,ddi,S/N
436,ddd,S/N
436,tie,S/N
436,tde,S/N
63,ddi,12444
63,ddd,12443
63,cie,11257
63,cii,11258
63,cdi,11259
63,cde,11260
63,tie,12403
63,tde,12404
63,ra,7691
64,ddi,12402
64,ddd,12401
64,cie,12768
64,cii,12769
64,cdi,12770
64,cde,12771
64,tie,12812
64,tde,12811
64,ra,10416
65,ddi,12156
65,ddd,12157
65,cie,12799
65,cii,12798
65,cdi,12797
65,cde,12796
65,tie,12813
65,tde,12810
66,ddi,13013
66,ddd,13016
66,cie,11164
66,cii,11163
66,cdi,11165
66,cde,11166
66,tie,12453
66,tde,12452
66,ra,9138
341,ddi,12446
341,ddd,12445
341,tie,12269
341,tii,12268
341,tdi,12267
341,tde,12266
67,ddi,13009
67,ddd,13010
67,cie,10762
67,cii,10754
67,cdi,10996
67,cde,9769
67,tie,12455
67,tde,12454
67,ra,9261
68,ddi,13008
68,ddd,13007
68,cie,12343
68,cii,12344
68,cdi,12345
68,cde,12346
68,tie,12313
68,tde,11646
68,ra,11364
345,ddi,11993
345,ddd,11992
345,tie,11407
345,tii,11406
345,tdi,11405
345,tde,11404
342,ddi,12275
342,ddd,12274
342,tie,12249
342,tii,12248
342,tdi,12247
342,tde,12246
342,ra,8755
344,ddi,13255
344,ddd,13254
344,tie,10813
344,tii,10814
344,tdi,12024
344,tde,10816
347,ddi,12489
347,ddd,12493
347,tie,9872
347,tii,8460
347,tdi,10709
347,tde,9895
347,ra,10596
440,ddi,s/n
440,ddd,S/N
440,tie,s/n
440,tde,s/n
440,ra,s/n
2041,ddi,11891
2041,ddd,11890
2041,tie,11637
2041,tii,11636
2041,tdi,11635
2041,tde,11634
348,ddi,11269
348,ddd,11270
348,tie,11267
348,tii,11271
348,tdi,11272
348,tde,11268
348,ra,9211
349,ddi,12348
349,ddd,12347
349,tie,12485
349,tii,12486
349,tdi,12488
349,tde,12411
349,ra,10334
350,ddi,12412
350,ddd,12487
350,tie,10910
350,tii,10528
350,tdi,10747
350,tde,10909
350,ra,9091
2044,ddi,4232
2044,ddd,4232
2044,tie,4234
2044,tii,3780
2044,tdi,3578
2044,tde,3577
346,ddi,12993
346,ddd,12992
346,tie,11125
346,tii,11126
346,tdi,10767
346,tde,10774
346,ra,8649
2043,ddi,3335
2043,ddd,3600
2043,tie,3825
2043,tii,3826
2043,tdi,3306
2043,tde,3860B
2042,ddi,8569
2042,ddd,8570
2042,tie,8883
2042,tii,8884
2042,tdi,8885
2042,tde,8886
351,ddi,11752
351,ddd,11751
351,tie,12775
351,tii,12777
351,tdi,12499
351,tde,12779
351,ra,10085
352,ddi,12494
352,ddd,12926
352,tie,12491
352,tii,10329
352,tdi,10147
352,tde,12350
352,ra,10592
343,ddi,13018
343,ddd,13017
343,tie,9339
343,tii,11848
343,tdi,11849
343,tde,11850
439,ddi,12650
439,ddd,12651
439,tie,12003
439,tde,12004
439,ra,S/N
356,ddi,11969
356,ddd,11968
356,tie,12023
356,tii,12022
356,tdi,12021
356,tde,12020
69,ddi,11831
69,ddd,11861
69,cie,11276
69,cii,11274
69,cdi,11273
69,cde,11275
69,tie,12669
69,tde,12668
69,ra,7052
70,ddi,12666
70,ddd,12667
70,cie,11159
70,cii,11160
70,cdi,11161
70,cde,11162
70,tie,13011
70,tde,13012
70,ra,10403
442,ddi,S/N
442,ddd,S/N
442,tie,s/n
442,tde,s/n
442,ra,s/n
443,ddi,12591
443,ddd,12590
443,tie,12592
443,tde,12593
443,ra,S/N
444,ddi,S/N
444,ddd,S/N
444,tie,S/N
444,tde,S/N
444,ra,S/N
358,ddi,12285
358,ddd,12284
358,tie,12286
358,tii,12287
358,tdi,12288
358,tde,12289
358,ra,10003
357,ddi,13108
357,ddd,13107
357,tie,11237
357,tii,11238
357,tdi,11236
357,tde,11235
354,ddi,9166
354,ddd,9165
354,tie,9163
354,tii,9164
354,tdi,9162
354,tde,9161
366,ddi,12943
366,ddd,12846
366,tie,10961
366,tii,10960
366,tdi,10536
366,tde,10962
366,ra,vacio25
371,ddi,11312
371,ddd,11314
371,tie,vacio36
371,tii,9174
371,tdi,9319
371,tde,9497
371,ra,vacio36
368,ddi,12336
368,ddd,12335
368,tie,9187
368,tii,9170
368,tdi,10335
368,tde,10533
368,ra,10534
375,ddi,11973
375,ddd,11975
375,tie,11972
375,tii,10958
375,tdi,10959
375,tde,11980
375,ra,6289
374,ddi,11032
374,ddd,11037
374,tie,9243
374,tii,9244
374,tdi,9246
374,tde,9245
374,ra,vacio21
373,ddi,3012
373,ddd,11316
373,tie,9185
373,tii,9184
373,tdi,9353
373,tde,S/N
373,ra,VACIO
372,ddi,11315
372,ddd,11313
372,tie,9361
372,tii,9368B
372,tdi,11035
372,tde,11311
365,ddi,10539
365,ddd,10540
365,tie,9403
365,tii,9402
365,tdi,9399
365,tde,9398
365,ra,9404
367,ddi,12842
367,ddd,12945
367,tie,10477
367,tii,10480
367,tdi,10479
367,tde,10478
369,ddi,11979
369,ddd,11978
369,tie,11982
369,tii,11983
369,tdi,11974
369,tde,11981
370,ddi,11033
370,ddd,11036
370,tie,s/n
370,tii,s/n
370,tdi,s/n
370,tde,s/n
376,ddi,13161
376,ddd,12847
376,tie,9317
376,tii,9327
376,tdi,11976
376,tde,11977
377,ddi,12280
377,ddd,12283
377,tie,8729
377,tii,8728
377,tdi,8727
377,tde,8726
378,ddi,12845
378,ddd,12944
378,tie,s/n
378,tii,s/n
378,tdi,s/n
378,tde,s/n
360,ddi,13239
360,ddd,13238
360,tie,8949R
360,tii,8948R
360,tdi,10966R
360,tde,10967R
364,ddi,12392
364,ddd,12390
364,tie,12395
364,tii,12391
364,tdi,12396
364,tde,12388
364,ra,10873
355,ddi,11965
355,ddd,10687
355,tie,11963
355,tii,11964
355,tdi,11966
355,tde,11962
379,ddi,8429
379,ddd,8430
379,tie,9564
379,tii,9563
379,tdi,9022
379,tde,9565
446,ddi,11883
446,ddd,11880
446,tie,11882
446,tde,11881
446,ra,s/n
447,ddi,11542
447,ddd,11543
447,tie,s/n
447,tde,s/n
447,ra,s/n
454,ddi,11731
454,ddd,11719
454,tie,s/n
454,tde,s/n
454,ra,s/n
455,ddi,12897
455,ddd,12896
455,tie,12898
455,tde,12899
455,ra,s/n
361,ddi,11812
361,ddd,11811
361,tie,11813
361,tii,11814
361,tdi,11815
361,tde,11816
362,ddi,11194
362,ddd,11193
362,tie,11797
362,tii,11798
362,tdi,11796
362,tde,11800
384,ddi,11659
384,ddd,S/N
384,tie,S/N
384,tii,S/N
384,tdi,S/N
384,tde,S/N
384,ra,s/n
385,ddi,12579
385,ddd,12578
385,tie,12967
385,tii,12968
385,tdi,12303
385,tde,12310
385,ra,s/n
386,ddi,12070
386,ddd,12069
386,tie,s/n
386,tii,s/n
386,tdi,s/n
386,tde,s/n
353,ddi,12400
353,ddd,12399
353,tie,12431
353,tii,12432
353,tdi,12433
353,tde,12434
380,ddi,12261
380,ddd,12260
380,tie,8497
380,tii,8498
380,tdi,11412
380,tde,11413
388,ddi,12080
388,ddd,12078
388,tie,12583
388,tii,12582
388,tdi,12584
388,tde,12585
382,ddi,9657
382,ddd,9656
382,tie,9661
382,tii,9660
382,tdi,9659
382,tde,9658
383,ddi,13116
383,ddd,13115
383,tie,12252
383,tii,12253
383,tdi,12254
383,tde,12255
456,ddi,11722
456,ddd,11726
456,tie,11536
456,tde,11530
456,ra,S/N
381,ddi,11697
381,ddd,11696
381,tie,9732
381,tii,9498
381,tdi,10370
448,ddi,11736
448,ddd,11734
448,tie,S/N
448,tde,S/N
448,ra,s/n
458,ddi,11729
458,ddd,11740
458,tie,11533
458,tde,11528
458,ra,S/N
460,ddi,11741
460,ddd,11733
460,tie,11720
460,tde,11717
460,ra,s/n
457,ddi,12479
457,ddd,12472
457,tie,12476
457,tde,12470
457,ra,s/n
390,ddi,12257
390,ddd,12256
390,tie,10009
390,tii,10012
390,tdi,10013
390,tde,10011
390,ra,3629
391,ddi,13114
391,ddd,13113
391,tie,9967
391,tii,9971
391,tdi,9970
391,tde,9968
391,ra,3592
387,ddi,12580
387,ddd,12581
387,tie,11653
387,tii,S/N
387,tde,11652
445,ddi,s/n
445,ddd,s/n
445,tie,s/n
445,tde,s/n
449,ddi,11742
449,ddd,11730
449,tie,s/n
449,tde,s/n
449,ra,s/n
463,ddi,11724
463,ddd,11727
463,tie,s/n
463,tde,s/n
463,ra,S/N
462,ddi,11620
462,ddd,11618
462,tie,11621
462,tde,11619
462,ra,11622
459,ddi,12745
459,ddd,12744
459,tie,12746
459,tde,12747
392,ddi,S/N
392,ddd,S/N
392,tie,S/N
392,tde,S/N
393,ddi,11996
393,ddd,11994
393,tie,11997
393,tde,11995
393,ra,S/N
394,ddi,12128
394,ddd,12131
394,tie,12130
394,tde,12129
394,ra,11642
395,ddi,12118
395,ddd,12106
395,tie,12104
395,tde,12102
395,ra,12101
450,ddi,S/N
450,ddd,S/N
450,tie,S/N
450,tde,S/N
71,ddi,13000
71,ddd,12999
71,cie,13339
71,cii,13338
71,cdi,13340
71,cde,13341
71,tie,12998
71,tde,12997
5000,ddi,13090
5000,ddd,13089
5000,tie,12193
5000,tii,12192
5000,tdi,12191
5000,tde,12190
5000,ra,10736
5001,ddi,13391
5001,ddd,13213
5001,tie,12194
5001,tii,12195
5001,tdi,12196
5001,tde,12197
5004,ddi,11524
5004,ddd,11527
5004,tie,11523
5004,tii,10853
5004,tdi,11522
5004,tde,11521
5004,ra,11519
72,ddi,12440
72,ddd,12439
72,cie,11745
72,cii,11746
72,cdi,11747
72,cde,11748
72,tie,12929
72,tde,12930
72,ra,10934
389,ddi,12587
389,ddd,12586
389,tie,12068
389,tii,12073
389,tdi,12072
389,tde,12071
5002,ddi,13206
5002,ddd,13199
5002,tie,12273
5002,tii,12272
5002,tdi,12271
5002,tde,12270
5003,ddi,12763
5003,ddd,12520
5003,tie,11231
5003,tii,11232
5003,tdi,11233
5003,tde,11234
5005,ddi,12277
5005,ddd,11671
5005,tie,12822
5005,tii,12823
5005,tdi,12824
5005,tde,12825
5006,ddi,13165
5006,ddd,13166
5006,tie,13167
5006,tii,13168
5006,tdi,13169
5006,tde,13170
5015,ddi,11713
5015,ddd,11714
5015,tie,11715
5015,tde,11716
5015,ra,12296
5018,ddi,13127
5018,ddd,13128
5018,tie,12970
5018,tii,12972
5018,tdi,12969
5018,tde,12971
5019,ddi,11565
5019,ddd,11564
5019,tie,11566
5019,tii,11567
5019,tdi,11568
5019,tde,11569
5020,ddi,11571
5020,ddd,11570
5020,tie,11572
5020,tii,11573
5020,tdi,11574
5020,tde,11575
5021,ddi,11577
5021,ddd,11576
5021,tie,11578
5021,tii,11579
5021,tdi,11580
5021,tde,11581
5022,ddi,11583
5022,ddd,11582
5022,tie,11584
5022,tii,11585
5022,tdi,11586
5022,tde,11587
5026,ddi,11607
5026,ddd,11606
5026,tie,11825
5026,tii,11826
5026,tdi,11610
5026,tde,11611
5025,ddi,11601
5025,ddd,11600
5025,tie,11602
5025,tii,11603
5025,tdi,11604
5025,tde,11605
5024,ddi,12061
5024,ddd,12060
5024,tie,10863
5024,tii,10864
5024,tdi,10865
5024,tde,10866
5023,ddi,11589
5023,ddd,11588
5023,tie,11590
5023,tii,11591
5023,tdi,11592
5023,tde,11593
5017,ddi,12295
5017,ddd,12294
5017,tie,11554
5017,tii,11555
5017,tdi,11556
5017,tde,11557
5011,ddi,13329
5011,ddd,13328
5011,tie,13333
5011,tii,13332
5011,tdi,13331
5011,tde,13330
5011,ra,12553
5008,ddi,12089
5008,ddd,12088
5008,tie,12090
5008,tde,12091
5008,ra,12100
5030,ddi,12007
5030,ddd,12006
5030,tie,12008
5030,tii,12009
5030,tdi,12010
5030,tde,12011
5031,ddi,12015
5031,ddd,12014
5031,tie,12016
5031,tii,12017
5031,tdi,12018
5031,tde,12019
5016,ddi,12292
5016,ddd,12293
5016,tie,12084
5016,tii,12085
5016,tdi,12086
5016,tde,12087
5007,ddi,12428
5007,ddd,12427
5007,tie,11548
5007,tii,11549
5007,tdi,11550
5007,tde,11551
5033,ddi,12389
5033,ddd,12398
5033,tie,11526
5033,tii,12397
5033,tdi,11516
5033,tde,12394
5033,ra,12117
5010,ddi,12168
5010,ddd,12169
5010,tie,12170
5010,tde,12171
5010,ra,12133
5014,ddi,12202
5014,ddd,12201
5014,tie,12203
5014,tii,12204
5014,tdi,12205
5014,tde,12206
5032,ddi,12119
5032,ddd,12120
5032,tie,12121
5032,tde,12122
5032,ra,12105
5009,ddi,12124
5009,ddd,12125
5009,tie,12126
5009,tde,12127
5034,ddi,12481
5034,ddd,12480
5034,tie,12482
5034,tde,12483
5034,ra,12484
5036,ddi,12298
5036,ddd,12297
5036,tie,12299
5036,tii,12300
5036,tdi,12301
5036,tde,12302
5036,ra,3096
5012,ddi,12540
5012,ddd,12539
5012,tie,12541
5012,tii,12542
5012,tdi,12543
5012,tde,12544
5037,ddi,13132
5037,ddd,13131
5037,tie,12306
5037,tii,12307
5037,tdi,12308
5037,tde,12309
5037,ra,3100
5028,ddi,12418
5028,ddd,12417
5028,tie,12419
5028,tii,12420
5028,tdi,12421
5028,tde,12422
5028,ra,10315
73,ddi,12524
73,ddd,12523
73,cie,12413
73,cii,12414
73,cdi,12415
73,cde,12416
73,tie,13284
73,tde,13283
5040,ddi,12508
5040,ddd,12507
5040,tie,12509
5040,tii,12510
5040,tdi,12511
5040,tde,12512
5041,ddi,12515
5041,ddd,12514
5041,tie,12516
5041,tii,12517
5041,tdi,12518
5041,tde,12519
74,ddi,12814
74,ddd,12816
74,cie,11266
74,cii,9091B
74,cdi,11264
74,cde,11263
74,tie,12532
74,tde,12531
5029,ddi,12673
5029,ddd,12672
5029,tie,12674
5029,tii,12675
5029,tdi,12676
5029,tde,12677
5029,ra,10628
5035,ddi,12731
5035,ddd,12730
5035,tie,12732
5035,tde,12733
5035,ra,12734
461,ddi,12741
461,ddd,12740
461,tie,12742
461,tde,12743
5038,ddi,12653
5038,ddd,12652
5038,tie,12690
5038,tii,S/N
5038,tdi,12689
5038,tde,12688
5043,ddi,12758
5043,ddd,12757
5043,tie,12759
5043,tii,12760
5043,tdi,12761
5043,tde,12762
5042,ddi,12751
5042,ddd,12750
5042,tie,12752
5042,tii,12753
5042,tdi,12754
5042,tde,12755
5044,ddi,13056
5044,ddd,13055
5044,tie,13057
5044,tii,13058
5044,tdi,13059
5044,tde,13060
75,ddi,13176
75,ddd,13175
75,cie,13138
75,cii,13137
75,cdi,13136
75,cde,13135
75,tie,13177
75,tde,13178
75,ra,12490
77,ddi,13185
77,ddd,13184
77,cie,13139
77,cii,13140
77,cdi,13141
77,cde,13142
77,tie,13186
77,tde,13187
77,ra,12492
5045,ddi,13194
5045,ddd,13193
5045,tie,13195
5045,tii,13196
5045,tdi,13197
5045,tde,13198
5046,ddi,13201
5046,ddd,13200
5046,tie,13202
5046,tii,13203
5046,tdi,13204
5046,tde,13205
5047,ddi,13208
5047,ddd,13207
5047,tie,13209
5047,tii,13210
5047,tdi,13211
5047,tde,13212
5054,ddi,12974
5054,ddd,12973
5054,tie,12975
5054,tii,12976
5054,tdi,12977
5054,tde,12978
5055,ddi,13266
5055,ddd,13265
5055,tie,13267
5055,tii,13268
5055,tdi,13269
5055,tde,13270
5051,ddi,12981
5051,ddd,12980
5051,tie,12982
5051,tde,12983
5051,ra,12860
78,ddi,13352
78,ddd,13351
78,cie,13145
78,cii,13334
78,cdi,13335
78,cde,13147
78,tie,13353
78,tde,13354
78,ra,11356
79,ddi,13343
79,ddd,13342
79,cie,13148
79,cii,13146
79,cdi,13143
79,cde,13144
79,tie,13344
79,tde,13345
79,ra,11353
76,ddi,13361
76,ddd,13360
76,cie,13337
76,cii,13336
76,cdi,13149
76,cde,13150
76,tie,13362
76,tde,13363
76,ra,11278